text,class
"can not believe my eyes when read quite a bunch of other comments and reviews . as if it were a mediocre movie of some run-of-the-mill dudes . the movie is great , funny , crazy , over-the-top violent though with minimum gore , and all the way energetic to",pos
"the distribution was good , the subject could have been interessant and comic . whereas , he described the wandering of an old non credible communist looking for loving sensations . instead of this , the atmosphere is nor lively nor heavy .",neg
"this was the best bonnie and clyde movie i have seen . it has more accurate accounts of what happened and while it doesnt glorify their crimes it casts the pair in a normal light . i give this movie a 10. it has great actors , realistic scenes and",pos
"i 've always thought that most huge box-office flops usually have something to recommend them , but after the remake of around the world in 80 days and thunderbirds , i 'm beginning to doubt it . for those not familiar , it 's based on a puppet show about",neg
rarely seen a movie that deviates so much from the original premise and still remains ( more or less ) acceptable bloodline is a rather short ( which is a good thing in this case ) escapade that focuses on the mysterious hellraiser box . who wanted it to be,neg
"i may be getting ahead of myself here , but although the film itself was a technical masterpiece for its time , i watched it piece-by-piece on tcm last night , the question arises to me : why did they do that ? putting their lives in jeopardy , many",pos
"i got to watch this one without commercial interruption , and let me tell you , even for a tv movie it was pretty predictable . the actors did a workmanlike job with what they had , and the cast was pretty accomplished -- barry bostwick , jane seymour ,",neg
"kevin kline offers a brilliant comic turn in the 1997 comedy in & out . kline plays howard brackett , a small town history teacher who excitedly sits down to watch the academy awards this year because one of his former students ( matt dillon ) is a nominee .",pos
"silverlake life , the view from here , is an absolutely stunning movie about aids as well as about a gay love relationship . some images are indeed really hard to take , especially when one is gay or fears about aids , and probably for any sensitive person watching",pos
"l'hypothèse du tableau volé/the hypothesis of the stolen painting ( 1979 ) begins in the courtyard of an old , three-story parisian apartment building . inside , we meet the collector , an elderly man who has apparently devoted his life to the study of the six known existing paints",pos
i may be a sentimentalist . but i found this movie truly moving . it was the first movie that reduced me to tears . and it did it more than once ! ! i recommend it to anyone both gay and str8 . religious or not ! supporting co-star,pos
"when this play was first shown by the bbc over 30 years ago , it would have been something quite different for the time . so therefor some people would have found it quite scary , and may well have been impressed with the special effects ? looking at the",neg
"i 'm giving this film 9 out of 10 only because there are n't enough specific scientific references to the amount of energy it takes to produce food to satisfy the science haters . mdixon seems to believe the admittedly biased commentators are making this stuff up , but even",pos
i happened to catch this movie on late night tv . i saw the opening credits and thought this looks good . well i was very wrong . while not excruciatingly bad ( it had some funny and tender moments ) it lacked any sense of cohesion . it started,neg
`` you ca n't take it realistically . '' -sheets zombie bloodbath 2 ( zb2 ) is a world all of its own . i 've really never seen anything like it . the only thing i can think to compare it to is psychedelic drugs . forgive the clichéi,pos
"ugly women-of-the-cellblock flick rakes the bottom of the midnight-movie barrel , combining pulpy sleaze with the hoariest of girls-in-the-shower clichés . linda blair plays an innocent sent to jail ( we learn offhandedly she was involved in running over some guy with her car ) , facing hard time in",neg
"this is a good movie . something fun about watching money be blown at a super rate , especially from a kid 's point of view . take it for what it is , a fun little movie about a kid 's dream coming true , and what a kid",pos
"i 'm really not going to waste my time with in depth analysis , i 'm just going to say that i 'm extremely disappointed that catherine zeta-jones made the mistake of being in the main role in this absurd , nonsense , in this full of clichés boring to",neg
"if you 're one of those who recognise with pleasure such arcane titles as 'book of the dead ' , 'book of eibon ' or 'necronomicon ' , then you should feel right at home with malefique , a film which also features an occult tome , one with the",pos
"this movie is brilliant . i do n't remember this movie even being in theaters , so thinking it was a `` straight to dvd '' i have fairly low expectations , even though i am a big fan of mike judge . it has some of the same kind",pos
"this is one of those film's/pilot that if you knew battlestar galactica it helps , but is n't necessary . what makes this even more believable of a story than bsg is that this is n't something so far away in the future . this has such a depth to",pos
"klaus kinski popped up in a sizable number of spaghetti westerns throughout the 60 's and early 70 's ; he was usually cast in secondary parts as nasty villains . kooky klaus lands himself a juicy lead role as crazy johnny laster , a foul , twitchy , and",pos
"this afternoon we took the kids to the movies and saw neil gaimans stardust and all i can say is wow . it is rare that i am completely taken aback by anything but this is quite possibly the greatest fantasy movie i have ever seen , maybe even the",pos
"gene kelly , frank sinatra , kathryn grayson , and jose iturbi star in `` anchors aweigh , '' directed by george sidney . kelly and sinatra are joe and clarence , two navy guys on leave in hollywood . they meet a little boy ( dean stockwell ) and",pos
"when this film opened back in 1976 , legend has that it was met with massive jeering and disdain -- - it was widely considered a failure . i vividly remember ebert giving it one star and it was supposedly booed at cannes . apparently these people did n't understand",pos
"this film is one of the historically most accurate war films ever made in that it displays the reality of soldiers in a battle situation as well as the particular circumstances of the battle of stalingrad , obvious when one compares this film to works such as anthony beevor 's",pos
"i enjoy films of various kinds and qualities . whether it 's your typical standard hollywood action movie or your oscar season tear-jerker , movies that meet a certain standard will almost always be enjoyable for me . in soap girl , i received nothing but confusion . first ,",neg
"just watched this today on tcm , where the other reviewers here saw it . sorry that i was the only one to find davies a weak actress , with a truly awful attempt at an irish ( irish-american or otherwise ) accent . as she 's the star ,",neg
i would not consider myself as one of leonard cohen 's greatest fans . he does however feature as an important poet / musician in my literary / musical heritage . by far the most valuable element in this documentary is to hear leonard 's reflections on his own life,neg
"yes , i spelled that right . this movie is so predictable , the actual word needs additional letters to exemplify the predictability . from the moment the principal characters and situation are introduced , it is paint-by-numbers as to where this plot will take us . the foreshadowing was",neg
"this film deals with two ex-football players who are fred williamson , ( mack derringer ) and gary busey , ( lenny ) who work as private eyes and meet all kinds of ladies and men with some bad backgrounds . mack derringer is approached by his ex-wife vanity (",neg
"i saw this pilot when it was first shown , and i 'm sure countless `` spirit '' fans hate it , because , like batman , the green hornet etc. , it took the character in the direction of `` camp '' . but i evidently never got enough",pos
i got a dvd of `` bogeyman '' and this stunker was an extra feature . i assumed that it was `` boogeyman ii '' because it was paired with the original . but you know what they say about those who `` assume '' : it makes an ``,neg
this was actually my favorite series of scooby doo when i was younger . i thought each episode had more of an edge to it and the villains had a lot of creative thought put into them ( and even very scary and believable as well ) . some of,pos
"bruce almighty is the best jim carrey work since the truman show , and was a pleasant surprise after some of his recent `` hey hollywood - look how good i can act ! '' box office disappointments . it 's great to see jim recognizing and embracing his strengths",pos
"as a member of the cast , i was a member of the band at all the basketball games , i would like to let the world know after being in the movie , that we were not allowed to see it since it was banned in oregon . this",neg
"i never thought i would absolutly hate an arnold schwartzeneggar film , but this is is dreadful from the get go . there isnt one redeemable scene in the entire 123 long minutes . an absolute waste of time thank yu jay harris",neg
"i think together all the reviewers have captured this film really well . i have seen it many , many times , but i still feel a sense of joy and warmth just as i did the first time . my emotional response to this film never seems to fade",pos
"i thought this movie would be dumb , but i really liked it . people i know hate it because spirit was the only horse that talked . well , so what ? the songs were good , and the horses did n't need to talk to seem human .",pos
liam neeson portrays the scottish legend robert roy macgregor from the early 18th century . he is a true actor . he captivates the audience with his charisma as he does in all his roles . jessica lange is excellent as his wife mary . mary is such a beautiful,pos
"it 's sort of hard for me to say it , because i so greatly enjoyed both `` targets '' and `` paper moon '' , but i thought `` the last picture show '' was a somewhat fascinating but overly self-indulgent film . its main positive , as far",neg
the dubbing/translation in this movie is downright hilarious and provides the only entertainment in this otherwise dull and derivative zombie flick . i have n't laughed so hard in my life as i just did watching zombi 3 ( and i 've seen some really bad dubbing in my life,neg
"back in the 60 's , this grim study of joy , a young proletarian wife , was the introduction to the career of ken loach , who became one of the most distinguished and respected british filmmakers of all time . by then i knew very little about brecht",pos
"this film is justly famous as one of the most horrible examples of propaganda ever produced . the insistent equation of jews with disease is simply pathological , and even worse it almost becomes believable for brief seconds through its sheer repetition . the fact that something this crude works",neg
i totally disagreed with those comments which said this is a good movie . this is a totally sucked movie . i mean sucked - s.u.c.k.e.d . the story development is strange . mia kirshner changed from an innocent girl to a party-fun seeking chick for no convincing reasons at,neg
"there 's a certain irony in a parody of the gothic genre being turned into a mess of clichés by filmmakers who either had no idea what the story 's purpose was , or just did n't care . all of the hallmarks of your average family film are present-",neg
"basic meaning of the story is a reality . cruel true reality . situations are very funny . you have to laugh when you see , how people can be stupid , obstinate and crazy . the best description will be , if you watch it on your own .",pos
"it 's become extremely difficult to find a good horror movie anymore , thought this movie was a good thriller . could have had better production values but what kept me going was the suspense and the twists . i had real reservations before seeing this movie ( because of",pos
"i was eager to see `` mr. fix it '' because i 'm a huge david boreanaz fan . what i got , though , was a 1-1/2 hour nap . the premise seemed enjoyable : boreanaz is lance valenteen , proprietor of a business called `` mr. fix it",neg
"everything i remember about it was excellent ... great cast with sam waterston & george innes ( before he became more familiar to us audiences ) .... excellent scripts as only the english can do - edwardian sherlock holmes/lord peter wimsey/albert campion type mysteries , but with a jules verne",pos
"i had the pleasure of viewing this movie early and i have to say i thought that it was going to be boring and wondered how could they ever improve upon the 1984 version of bachelor party starring tom hanks , which i thought was pretty good ... i was",neg
"a blair witch-war movie that is as much of a letdown as bwitch was ! the title says it all , save your money and your time and spend it on a good movie such as `` once upon a time in america '' , `` the shawshank redemption ''",neg
"a small funny film . it is totally incredible , unbelievable , impossible . but it is funny how an introverted masochist can become totally dependent and mesmerized , even hypnotized by a girl he hardly knows but who was able to get down into his phantasms . of course",pos
"it must be said that the director of the cell , tarsem singh , has quite handily established himself with his first feature , which happens to rank as one of the most visually astounding films in contemporary cinema . the cell is more of a visceral experience than a",pos
"it is beyond me why two million danish people each week sit down to watch this terrible show . the dialogue is terrible and not realistic . the characters are hollow and simplistic . there 's a tough man , a tough woman and a sensitive man . the writers",neg
the supposed writer and director mr.dhawan has copied almost the whole plot of the blockbuster hollywood movie `` hitch '' starring will smith . many scenes are also exactly the same . the plot was just copy pasted and some low grade humor ( probably mr.dhawan 's own creation ),neg
"just a few words : it 's a good thing george a romero is still among us cause if he were dead , he would be forced to rise from grave to vote against the people who made this 'political satire ' and the saddest thing of all is that",neg
this movie rips off of every mobster/gangster film ever made . mp da last don has a reference to every movie . the acting was by far the worst i have every seen . who the hell is john mario anyway ? his acting was by far the worst i,neg
this film is great ! being a fan of `` the comic strip presents ... '' i just knew i would love this film . and love it i do . i finally got round to buying a copy of this film early this year . however i was annoyed,pos
"an unqualified `` 10 . '' the level of writing and acting in this australian movie is reminiscent of the very best of `` old '' hollywood . sam neill and meryl streep are very good together . neill matches streep line for line , and take for take --",pos
star rating : * * * * * unmissable * * * * very good * * * okay * * you could go out for a meal instead * avoid at all costs the tale of the titular adam ( mark o ' halloran ) and paul ( tom,neg
"some good movies keep you in front of the tv , and you are dying to see the result . this movie does not have highs and lows . it simply describes a young girl 's family life in africa . people come and go , the weather and the",neg
"a child-like puppeteer , for a public access children 's show , goes over the deep end when he discovers kids he entertains at a hospital were victims of horrible abuse . this movie has some of the worst indescribably monstrous parents you could ever come across . not an",neg
"richard pryor 's early 80s running down the street on fire incident must have affected him somehow . in his stand up , he jokes about it getting great laughs . it seemed to have done something involving the projects he chose . the toy is about the lamest he",neg
"this comment does contain spoilers ! ! there are few actors that have an intangible to them . that innate quality which is an amalgamation of charisma , panache and swagger . it 's the quality that can separate good actors from the truly great . i think george clooney",pos
"this joins the endless line of corny , predictable 50 's sci-fi shlock out there . as usual , it 's pretty bad . there is n't much of a plot that i could detect and the over-exaggeration of the leads only adds to the unintentional laughs . the title",neg
"the first time i ever saw this movie was back in the 1980s as a wee lad . my dad actually recorded it off the tv . i must have watched is over 20 times , before the relatively recent release on dvd . i of course bought and watched",pos
the film was written 10 years back and a different director was planning it with srk and aamir in lead roles the film finally was made now with vipul shah directing it and ajay and salman starring together after a decade hum dil de chuke sanam ( 1999 ) the,neg
"i have n't actually finished the film . you may say that in this case i have no right to review it , especially so negatively . but i do , only because i stopped it on account of i could n't watch anymore ... i got over halfway ,",neg
"a weird , witty and wonderful depiction of family life ! writer andrew marshall has written something that is funny , foreboding and occasionally frightening ! yes , do n't be fooled by 2point4 children 's cheerful tune and bubbly characters ; the show has a dark side , and",pos
i saw this film when it first came out and hated it . i just saw it again 27 years later . i actually liked some of it ... although robin williams was totally wrong for the role ... what i remember most about hating the film is that it,neg
the movie shocked me . personally i had herd mostly bad buzz . well finally after owning the dvd for months now i pooped it in on a sleepless night . though the movie did drag the extra footage was used with purpose the seriousness of his passion and his,pos
"in 1968 , stanley kubrick made this historic film masterpiece base on a book written by arthur c. clark . it was such an early effort to make a science fiction movie combined with scientific facts . his style of movie making is still fresh and intact . i have",pos
"i saw this episode of masterpiece theatre and immediately came to imdb to look it up . i was greeted by a comment from another user , who believed that it was nothing special , a 6 out of 10 , and underwhelming . i would feel morally remiss if",pos
"this is perhaps the best rockumentary ever- a british , better this is spinal tap . the characters are believable , the plot is great , and you can genuinely empathise with some of the events- such as ray 's problem with fitting in the band . the soundtrack is",pos
"i thoroughly enjoyed the first part of this two parter , the impossible planet , and was slightly worried that the second part would n't hold up quite so well as has been true in the past of the two parters of the past 2 who series . but thankfully",pos
"a very good episode , although not as devastating a finale as the end of season 1. the idea to make it a desmond flashback worked very well , and henry ian cusick was fantastic , perhaps putting in the best performance of this entire series , but my only",pos
there is so much of worth in this movie that it is hard to know where to begin with praise . let me begin by expressing my admiration for a perfect portrayal by reese witherspoon . that her performance stands out in the excellent cast is praise indeed . robert,pos
"i do n't know what movie some of these other people watched , but they must have seen a different `` joseph smith : prophet of the restoration '' than the one i saw . i think the movie was both well-done and inspiring . i think it 's definitely",pos
"before seeing this , i was put off by the subject matter , but this is not your average triumph over adversity story . although this is technically about blind tibetan kids climbing mt . everest , there is so much more to it . this movie shows the very",pos
"miriam hopkins is `` the lady with red hair '' in this 1940 biopic of mrs. leslie carter which also stars claude rains as david belasco , richard ainley as lou payne , and a fine cast of supporting players , including laura hope crews and victor jory . miriam",pos
"the movie starts something like a less hyper-kinetic , more pastiche dead or alive : strange underground activities are done while bodies are discovered by police officers . but when a police officer is killed , one tatsuhito gets involved ... and when he discovers that his brother shihito is",pos
